Country,ISO3,Year,UV radiation attributable DALYs ,UV radiation attributable DALYs per 100'000 capita,UV radiation attributable deaths,UV radiation attributable deaths per 100'000 capita
Poland,POL,2002,17797,47,1342,4
Portugal,PRT,2002,3605,34,264,3
Qatar,QAT,2002,231,29,2,0.22
Republic of Korea,KOR,2002,11238,24,329,0.69
Republic of Moldova,MDA,2002,1196,31,65,2
Romania,ROM,2002,8806,41,622,3
Russian Federation,RUS,2002,44963,31,2360,2
Rwanda,RWA,2002,4489,51,102,1
Saint Kitts and Nevis,KNA,2002,7,15,0,0.01
Saint Lucia,LCA,2002,26,16,0.79,0.48
Saint Vincent and the Grenadines,VCT,2002,18,17,0.04,0.04
Samoa,WSM,2002,40,22,1,0.7
San Marino,SMR,2002,8,28,0.84,3
Sao Tome and Principe,STP,2002,96,64,1,0.8
Saudi Arabia,SAU,2002,9089,39,127,0.55
Senegal,SEN,2002,5934,54,123,1
Seychelles,SYC,2002,75,91,0.71,0.86
Sierra Leone,SLE,2002,2850,58,45,0.91
Singapore,SGP,2002,1367,33,36,0.87
Slovakia,SVK,2002,2138,40,134,2
Slovenia,SVN,2002,1045,52,75,4
Solomon Islands,SLB,2002,68,15,2,0.34
Somalia,SOM,2002,5703,70,79,0.97
South Africa,ZAF,2002,31790,67,433,0.91
Spain,ESP,2002,13585,32,1081,3
Sri Lanka,LKA,2002,14341,74,42,0.22
Sudan,SDN,2002,27903,74,456,1
Suriname,SUR,2002,80,16,0.98,0.2
Sweden,SWE,2002,3578,40,339,4
Switzerland,CHE,2002,2976,40,244,3
Syrian Arab Republic,SYR,2002,5146,28,45,0.24
Tajikistan,TJK,2002,1132,18,33,0.5
Thailand,THA,2002,46138,71,243,0.37
Republic of North Macedonia,MKD,2002,853,42,66,3
Timor-Leste,TLS,2002,88,9,2,0.24
Togo,TGO,2002,2721,47,40,0.69
Trinidad and Tobago,TTO,2002,300,23,5,0.36
Tunisia,TUN,2002,3616,37,50,0.51
Turkey,TUR,2002,12842,18,401,0.57
Turkmenistan,TKM,2002,975,20,36,0.75
Tuvalu,TUV,2002,3,30,0.09,0.96
Uganda,UGA,2002,11123,40,174,0.63
Ukraine,UKR,2002,18399,39,1184,3
United Arab Emirates,ARE,2002,1010,26,8,0.21
United Kingdom of Great Britain and Northern Ireland,GBR,2002,17895,30,1714,3
United Republic of Tanzania,TZA,2002,21243,56,456,1
United States of America,USA,2002,118060,39,8785,3
Uruguay,URY,2002,1782,54,82,2
Uzbekistan,UZB,2002,4481,17,156,0.6
Vanuatu,VUT,2002,34,16,1,0.47
Venezuela (Bolivarian Republic of),VEN,2002,7324,28,261,0.99
Viet Nam,VNM,2002,14367,17,110,0.13
Yemen,YEM,2002,10373,51,141,0.69
Zambia,ZMB,2002,5449,47,125,1
Zimbabwe,ZWE,2002,6727,54,98,0.79
